course_name,domain,subdomain,mentor,duration,price,rating,level,skills,description,course_url
AI For Everyone Course,Mobile Development,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Financial Markets Course,Mobile Development,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,Mobile Development,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
Blockchain Basics,Blockchain,,Bina Ramamurthy Enroll for,,Paid,,Beginner,,"Blockchain Basics | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Blockchain Basics
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Blockchain Basics
This course is part of
Blockchain Specialization
Instructor:
Bina Ramamurthy
Enroll for free
Starts Apr 14
281,765
already enrolled
Included with
Coursera Plus
â¢
Learn more
4 modules
Gain insight into a topic an",https://www.coursera.org/learn/blockchain-basics
Blockchain and Cryptocurrency Explained,Blockchain,,Andrew Wu Enroll for,,Paid,,Beginner,,"Blockchain and Cryptocurrency Explained | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Blockchain and Cryptocurrency Explained
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Blockchain and Cryptocurrency Explained
This course is part of
Financial Technology (Fintech) Innovations Specialization
Instructor:
Andrew Wu
Enroll for free
Starts Apr 14
64,642
already enrolled
Included wi",https://www.coursera.org/learn/crypto-finance
Introduction to Blockchain Technologies,Blockchain,,INSEAD Learn more Offered,,Paid,,Beginner,,"Introduction to Blockchain Technologies | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Introduction to Blockchain Technologies
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Essentials
Introduction to Blockchain Technologies
This course is part of
Blockchain Revolution Specialization
Instructors:
Don Tapscott
+1 more
Instructors
Instructor ratings
We asked all learners to give f",https://www.coursera.org/learn/introduction-blockchain-technologies
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,Blockchain,,University of Pennsylvania Learn,,Paid,,Beginner,,"Cryptocurrency and Blockchain: An Introduction to Digital Currencies | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Cryptocurrency and Blockchain: An Introduction to Digital Currencies
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Cryptocurrency and Blockchain: An Introduction to Digital Currencies
This course is part of
Fintech: Foundations & Applications of Financial Technolog",https://www.coursera.org/learn/wharton-cryptocurrency-blockchain-introduction-digital-currency
Generative AI and Blockchain,Blockchain,,INSEAD Learn more Offered,,Paid,,,,"Generative AI and Blockchain | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Generative AI and Blockchain
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Leadership and Management
Generative AI and Blockchain
Instructors:
Don Tapscott
+3 more
Instructors
Instructor ratings
We asked all learners to give feedback on our instructors based on the quality of their teaching style.
5.0
(
8 ratings
)
Don T",https://www.coursera.org/learn/generative-ai-and-blockchain
Web3 and Blockchain Fundamentals,Blockchain,,INSEAD Learn more Offered,,Paid,,Mixed,,"Web3 and Blockchain Fundamentals | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Web3 and Blockchain Fundamentals
About
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Computer Security and Networks
Web3 and Blockchain Fundamentals
Instructors:
Don Tapscott
+2 more
Instructors
Instructor ratings
We asked all learners to give feedback on our instructors based on the quality of their teaching style",https://www.coursera.org/learn/web3-blockchain-fundamentals
Bitcoin and Cryptocurrency Technologies,Blockchain,,Arvind Narayanan Enroll for,,Paid,,,,"Bitcoin and Cryptocurrency Technologies | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Bitcoin and Cryptocurrency Technologies
About
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Computer Security and Networks
Bitcoin and Cryptocurrency Technologies
Instructor:
Arvind Narayanan
Enroll for free
Starts Apr 14
860,179
already enrolled
11 modules
Gain insight into a topic and learn the fundamental",https://www.coursera.org/learn/cryptocurrency
AI For Everyone Course,Blockchain,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Financial Markets Course,Blockchain,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,Blockchain,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
Foundations of User Experience (UX) Design,UI UX,,Google Career Certificates Enroll,,Paid,,Beginner,,"Foundations of User Experience (UX) Design | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Foundations of User Experience (UX) Design
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Design and Product
Foundations of User Experience (UX) Design
This course is part of
Google UX Design Professional Certificate
Instructor:
Google Career Certificates
Enroll for free
Starts Apr 14
1,676,",https://www.coursera.org/learn/foundations-user-experience-design
Principles of UX/UI Design,UI UX,,Taught by Meta Experts,,Paid,,Beginner,,"Principles of UX/UI Design | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Principles of UX/UI Design
About
Outcomes
Modules
Testimonials
Reviews
Browse
Computer Science
Mobile and Web Development
Principles of UX/UI Design
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Meta Android Developer Professional Certificate
Meta iOS Developer Professional Certificate
Meta React",https://www.coursera.org/learn/principles-of-ux-ui-design
Build Dynamic User Interfaces (UI) for Websites,UI UX,,Google Career Certificates Enroll,,Paid,,Beginner,,"Build Dynamic User Interfaces (UI) for Websites | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Build Dynamic User Interfaces (UI) for Websites
About
Outcomes
Modules
Testimonials
Reviews
Browse
Computer Science
Design and Product
Build Dynamic User Interfaces (UI) for Websites
This course is part of
Google UX Design Professional Certificate
Instructor:
Google Career Certificates
Enroll for free
Starts Apr 14
276,089",https://www.coursera.org/learn/responsive-web-design-adobe-xd
Designing User Interfaces and Experiences (UI/UX),UI UX,,IBM Learn more Offered,,Paid,,Beginner,,"Designing User Interfaces and Experiences (UI/UX) | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Designing User Interfaces and Experiences (UI/UX)
About
Outcomes
Modules
Testimonials
Reviews
Browse
Computer Science
Mobile and Web Development
Designing User Interfaces and Experiences (UI/UX)
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM Front-End Developer Professio",https://www.coursera.org/learn/designing-user-interfaces-and-experiences-uiux
Fundamentals of UI/UX Design,UI UX,,Microsoft Enroll for free,,Paid,,Beginner,,"Fundamentals of UI/UX Design | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Fundamentals of UI/UX Design
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Design and Product
Fundamentals of UI/UX Design
This course is part of
Microsoft UX Design Professional Certificate
Instructor:
Microsoft
Enroll for free
Starts Apr 14
38,825
already enrolled
Included with
Coursera Plus
â¢
Learn ",https://www.coursera.org/learn/fundamentals-of-uiux-design
AI For Everyone Course,UI UX,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Financial Markets Course,UI UX,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,UI UX,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
Introduction to DevOps,DevOps,,John Rofrano,,Paid,,Beginner,,"Introduction to DevOps | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Introduction to DevOps
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Introduction to DevOps
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM DevOps and Software Engineering Professional Certificate
IBM IT Scrum Master Professional Certificat",https://www.coursera.org/learn/intro-to-devops
Continuous Integration and Continuous Delivery (CI/CD),DevOps,,IBM Learn more Offered,,Paid,,Intermediate,,"Continuous Integration and Continuous Delivery (CI/CD) | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Continuous Integration and Continuous Delivery (CI/CD)
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Continuous Integration and Continuous Delivery (CI/CD)
This course is part of multiple programs.
Learn more
This course is part of multiple programs
IBM DevO",https://www.coursera.org/learn/continuous-integration-and-continuous-delivery-ci-cd
Deployment and DevOps,DevOps,,Microsoft Enroll for free,,Paid,,Beginner,,"Deployment and DevOps | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Deployment and DevOps
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Deployment and DevOps
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Microsoft Back-End Developer Professional Certificate
Microsoft Full-Stack Developer Professional Certifica",https://www.coursera.org/learn/deployment-and-devops
Amazon DevOps Guru Getting Started,DevOps,,AWS Instructor Enroll for,,Paid,,Beginner,,"Amazon DevOps Guru Getting Started | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Amazon DevOps Guru Getting Started
About
Modules
Recommendations
Testimonials
Browse
Information Technology
Networking
Amazon DevOps Guru Getting Started
Instructor:
AWS Instructor
Enroll for free
Starts Apr 14
3,325
already enrolled
1 module
Gain insight into a topic and learn the fundamentals.
4.4
60 reviews
Beginner level
No prior e",https://www.coursera.org/learn/amazon-devops-guru-getting-started
AI For Everyone Course,DevOps,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Financial Markets Course,DevOps,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,DevOps,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
Programming in Python,Programming,,Taught by Meta Experts,,Paid,,Beginner,,"Programming in Python | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Programming in Python
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Information Technology
Data Management
Programming in Python
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Meta Database Engineer Professional Certificate
Meta Full Stack Developer: Front-End & Back-End from Scrat",https://www.coursera.org/learn/programming-in-python
Programming Fundamentals,Programming,,Duke University Learn more,,Paid,,Beginner,,"Programming Fundamentals | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Programming Fundamentals
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Algorithms
Programming Fundamentals
This course is part of
Introductory C Programming Specialization
Instructors:
Andrew D. Hilton
+2 more
Instructors
Instructor ratings
We asked all learners to give feedback on our instructors based on t",https://www.coursera.org/learn/programming-fundamentals
Computer Science: Programming with a Purpose,Programming,,Princeton University Learn more,,Paid,,Beginner,,"Computer Science: Programming with a Purpose | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Computer Science: Programming with a Purpose
About
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Computer Science: Programming with a Purpose
Instructors:
Robert Sedgewick
+1 more
Instructors
Instructor ratings
We asked all learners to give feedback on our instructors based on the q",https://www.coursera.org/learn/cs-programming-java
Code Yourself! An Introduction to Programming,Programming,,The University of Edinburgh,,Paid,,Beginner,,"Code Yourself! An Introduction to Programming | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Code Yourself! An Introduction to Programming
About
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Software Development
Code Yourself! An Introduction to Programming
Instructors:
Dr Areti Manataki
+1 more
Instructors
Instructor ratings
We asked all learners to give feedback on our instructors based on t",https://www.coursera.org/learn/intro-programming
Programming with JavaScript,Programming,,Taught by Meta Experts,,Paid,,Beginner,,"Programming with JavaScript | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Programming with JavaScript
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Computer Science
Mobile and Web Development
Programming with JavaScript
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Meta Full Stack Developer: Front-End & Back-End from Scratch Specialization
Meta Re",https://www.coursera.org/learn/programming-with-javascript
AI For Everyone Course,Programming,,Andrew Ng,,Paid,,Beginner,,"AI For Everyone | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
AI For Everyone
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Business Strategy
AI For Everyone
Instructor:
Andrew Ng
Top Instructor
Enroll for free
Starts Apr 14
2,470,470
already enrolled
4 modules
Gain insight into a topic and learn the fundamentals.
4.8
52,162 reviews
Beginner level
No prior experience required
Flexible schedule
",https://www.coursera.org/learn/ai-for-everyone
Financial Markets Course,Programming,,Robert Shiller Enroll for,,Paid,,Beginner,,"Financial Markets | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Financial Markets
About
Modules
Recommendations
Testimonials
Reviews
Browse
Business
Finance
Financial Markets
Instructor:
Robert Shiller
Enroll for free
Starts Apr 14
2,381,561
already enrolled
Included with
Coursera Plus
â¢
Learn more
7 modules
Gain insight into a topic and learn the fundamentals.
4.8
32,137 reviews
Beginner level
No prior experienc",https://www.coursera.org/learn/financial-markets-global
Prompt Engineering for ChatGPT Course,Programming,,Dr. Jules White,,Paid,,Beginner,,"Prompt Engineering for ChatGPT | Coursera
For
Individuals
For
Businesses
For
Universities
For
Governments
Explore
Degrees
​
Log In
Join for Free
Join for Free
Prompt Engineering for ChatGPT
About
Outcomes
Modules
Recommendations
Testimonials
Reviews
Browse
Data Science
Machine Learning
Prompt Engineering for ChatGPT
This course is part of multiple programs.
Learn more
This course is part of multiple programs
Agentic AI and AI Agents for Leaders Specialization
Generative AI Cybersecurity & Privac",https://www.coursera.org/learn/prompt-engineering
